trial,stimWord,stimColor,condition,leftWord,leftColor,rightWord,rightColor,response,stimImage,leftImage,rightImage
,HAPPY,white,happy,ANGRY,white,HAPPY,white,buttonB,31.png,17.png,20.png
,HAPPY,white,happy,ANGRY,white,HAPPY,white,buttonB,25.png,27.png,18.png
,HAPPY,white,happy,ANGRY,white,HAPPY,white,buttonB,19.png,22.png,29.png
,HAPPY,white,happy,ANGRY,white,HAPPY,white,buttonB,19.png,22.png,29.png
,HAPPY,white,happy,ANGRY,white,HAPPY,white,buttonB,31.png,19.png,32.png
,HAPPY,white,happy,ANGRY,white,HAPPY,white,buttonB,17.png,25.png,28.png
,HAPPY,white,happy,ANGRY,white,HAPPY,white,buttonB,19.png,23.png,20.png
,HAPPY,white,happy,ANGRY,white,HAPPY,white,buttonB,25.png,23.png,18.png
,HAPPY,white,happy,ANGRY,white,HAPPY,white,buttonB,23.png,30.png,21.png
,HAPPY,white,happy,ANGRY,white,HAPPY,white,buttonB,27.png,22.png,21.png
,HAPPY,white,happy,ANGRY,white,HAPPY,white,buttonB,27.png,25.png,20.png
,HAPPY,white,happy,ANGRY,white,HAPPY,white,buttonB,21.png,22.png,31.png
,HAPPY,white,happy,ANGRY,white,HAPPY,white,buttonB,21.png,22.png,19.png
,HAPPY,white,happy,ANGRY,white,HAPPY,white,buttonB,25.png,27.png,20.png
,HAPPY,white,happy,ANGRY,white,HAPPY,white,buttonB,27.png,20.png,25.png
,HAPPY,white,happy,ANGRY,white,HAPPY,white,buttonB,21.png,22.png,23.png
,HAPPY,white,happy,ANGRY,white,HAPPY,white,buttonB,25.png,29.png,32.png
,HAPPY,white,happy,ANGRY,white,HAPPY,white,buttonB,23.png,25.png,18.png
,HAPPY,white,happy,ANGRY,white,HAPPY,white,buttonB,25.png,30.png,23.png
,HAPPY,white,happy,ANGRY,white,HAPPY,white,buttonB,21.png,32.png,31.png
,HAPPY,white,happy,ANGRY,white,HAPPY,white,buttonB,27.png,30.png,25.png
,HAPPY,white,happy,ANGRY,white,HAPPY,white,buttonB,23.png,30.png,29.png
,HAPPY,white,happy,ANGRY,white,HAPPY,white,buttonB,31.png,30.png,23.png
,HAPPY,white,happy,ANGRY,white,HAPPY,white,buttonB,23.png,25.png,30.png
,HAPPY,white,happy,ANGRY,white,HAPPY,white,buttonB,31.png,30.png,19.png
,HAPPY,white,happy,ANGRY,white,HAPPY,white,buttonB,21.png,23.png,22.png
,HAPPY,white,happy,ANGRY,white,HAPPY,white,buttonB,23.png,21.png,22.png
,HAPPY,white,happy,ANGRY,white,HAPPY,white,buttonB,21.png,24.png,19.png
,HAPPY,white,happy,ANGRY,white,HAPPY,white,buttonB,17.png,24.png,23.png
,HAPPY,white,happy,ANGRY,white,HAPPY,white,buttonB,21.png,18.png,27.png
,HAPPY,white,happy,ANGRY,white,HAPPY,white,buttonB,21.png,29.png,28.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,32.png,22.png,31.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,24.png,31.png,22.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,28.png,21.png,22.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,22.png,31.png,28.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,24.png,28.png,31.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,30.png,22.png,27.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,20.png,31.png,30.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,20.png,23.png,22.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,18.png,22.png,21.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,20.png,29.png,30.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,20.png,26.png,29.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,32.png,19.png,20.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,18.png,23.png,30.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,26.png,24.png,17.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,26.png,30.png,25.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,26.png,28.png,31.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,28.png,32.png,17.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,28.png,31.png,26.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,26.png,25.png,30.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,18.png,31.png,28.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,26.png,31.png,24.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,26.png,22.png,29.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,20.png,31.png,18.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,32.png,30.png,29.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,30.png,18.png,21.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,22.png,32.png,21.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,26.png,19.png,24.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,28.png,27.png,32.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,20.png,18.png,27.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,32.png,19.png,30.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,26.png,23.png,22.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,26.png,17.png,24.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,28.png,21.png,32.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,32.png,22.png,25.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,26.png,18.png,27.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,20.png,32.png,31.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,28.png,18.png,31.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,24.png,21.png,18.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,20.png,30.png,29.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,24.png,23.png,20.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,26.png,20.png,17.png
,HAPPY,white,angry,HAPPY,white,ANGRY,white,buttonB,20.png,31.png,32.png
